advertiser,type,ads,dominant_hook,dominant_format,dominant_indication,dominant_awareness,offer_type,pages_tested,mismatch_rate_pct,break_rate_pct,claim_risk_rate_pct,biggest_deviation,longest_days,sample_ad_ids
Sofwave,device_manufacturer,18,social_proof (67%),testimonial_ugc (33%),laxity_tightening (67%),product_aware (100%),no_offer (100%),2,0,0,22,"[""modality"", ""unspecified"", 100, 79]",197,1904080990214482|965755216321911|1669575441153480|1347957490120770|28443013378656976
LaserAway,national_chain,7,direct_offer (100%),offer_promo (71%),general_glow (43%),most_aware (71%),percent_off (43%),7,29,0,0,"[""funnel"", ""bottom_retargeting"", 100, 70]",31,2595281784267218|1694758858284339|1350550960577447|1605297281391666|1400698368941163
Skin Laundry,national_chain,6,bold_claim (50%),offer_promo (83%),general_glow (50%),product_aware (50%),first_treatment_price (100%),3,33,33,17,"[""offer"", ""first_treatment_price"", 100, 92]",24,923198087506644|1591804232653380|2301933473974537|1406962508055441|2034036787478958
newskin,single_location,4,problem_callout (75%),problem_solution (100%),pigmentation_sun_damage (75%),product_aware (100%),gift_with_treatment (75%),4,0,0,25,"[""format"", ""problem_solution"", 100, 86]",16,2242586116577973|1105489385149830|28247141808255141|28425501283750361
OmniSculptMD,single_location,4,direct_offer (75%),before_after_showcase (50%),general_glow (25%),product_aware (75%),dollar_off (75%),1,100,100,100,"[""offer"", ""dollar_off"", 75, 61]",1221,634968448090898|1954059671898962|1428610605401447|970939461955879
Labelleviemedspa,single_location,4,bold_claim (50%),testimonial_ugc (25%),general_glow (50%),product_aware (100%),no_offer (100%),0,,,25,"[""cta_intent"", ""learn_educate"", 100, 80]",529,2665361377007697|2693277687524526|1212830840321054|670814632352769
Kyss Med Spa,single_location,4,flat_spec (25%),problem_solution (50%),general_glow (50%),solution_aware (50%),no_offer (50%),0,,,25,"[""cta_intent"", ""message_us"", 100, 88]",541,686837067027648|1056569136347401|883653214500218|1304371831341833
Timeless Skin & Wellness,single_location,4,direct_offer (100%),offer_promo (100%),general_glow (50%),most_aware (100%),package_bundle (75%),0,,,0,"[""awareness_stage"", ""most_aware"", 100, 72]",14,1806240764154937|1093011973631435|1041335998791400|28119652764350754
BHRC DFW,regional_group,4,question (75%),catalog_generic (75%),general_glow (75%),solution_aware (100%),no_offer (75%),3,100,33,0,"[""awareness_stage"", ""solution_aware"", 100, 89]",189,2220046521858200|1268478254645566|1670170851005996|794503373705933
Radiant Beauty & Health,single_location,4,flat_spec (75%),comparison_switch (100%),texture_pores (100%),product_aware (75%),no_offer (100%),4,0,0,0,"[""format"", ""comparison_switch"", 100, 96]",14,1776085543586888|1064140673263849|1080826571311010|1072926612328748
South Coast MedSpa,single_location,4,problem_callout (50%),before_after_showcase (50%),acne_scarring (50%),product_aware (100%),no_offer (50%),0,,,25,"[""modality"", ""ablative_co2_erbium"", 100, 82]",155,3603683779769359|4522224891380328|1627954761996176|1864650134913787
Paloma Clinic Spa,single_location,4,flat_spec (50%),problem_solution (50%),acne_scarring (50%),solution_aware (100%),free_consult (50%),0,,,0,"[""awareness_stage"", ""solution_aware"", 100, 89]",144,1442528493854637|1053335703834921|1304236668179168|1963262357719468
Coastal Aesthetics,single_location,4,direct_offer (50%),offer_promo (100%),fine_lines_wrinkles (100%),most_aware (100%),dollar_off (75%),4,0,0,75,"[""indication"", ""fine_lines_wrinkles"", 100, 89]",74,1549540640156915|1019759244089677|2121820088369058|879004958483453
Venus Aesthetics Miami,device_manufacturer,4,flat_spec (50%),before_after_showcase (50%),general_glow (25%),product_aware (50%),no_offer (100%),0,,,0,"[""offer"", ""no_offer"", 100, 58]",154,2198283054250194|1779341073471777|977352941899643|2493122501142170
Marcos Medical Care & Wellness,single_location,4,question (50%),problem_solution (50%),pigmentation_sun_damage (50%),product_aware (100%),no_offer (100%),0,,,0,"[""modality"", ""non_ablative_fractional"", 100, 90]",99,2530819437354826|1314498307436751|1025099523372099|1026614623404024
Kalon Aesthetics & Surgery,single_location,4,question (50%),offer_promo (75%),laxity_tightening (50%),problem_aware (50%),event_flash_sale (100%),4,0,0,0,"[""driver"", ""lifestyle_aspiration"", 100, 96]",17,2112086213061545|2604717649986010|4552362751673473|3120637941464852
Studio-MD,single_location,4,flat_spec (50%),provider_authority (50%),laxity_tightening (100%),product_aware (100%),free_consult (50%),2,50,0,0,"[""driver"", ""transformation"", 100, 70]",88,1376069987752757|1429652852255757|1480235563431779|2509689689483212
Dra. Eunice Magaña,single_location,4,bold_claim (50%),educational_howto (75%),laxity_tightening (75%),product_aware (100%),no_offer (100%),0,,,50,"[""cta_intent"", ""message_us"", 100, 88]",620,1120511409555972|1200608168808444|1039629715342439|874444481655321
SKYN Weight Loss + Wellness,single_location,4,flat_spec (50%),catalog_generic (75%),laxity_tightening (75%),product_aware (100%),no_offer (100%),0,,,0,"[""modality"", ""rf_microneedling"", 100, 68]",101,1542450017559664|988034024083381|1365939472374225|2335968763598769
Skinney Medspa,single_location,4,bold_claim (50%),offer_promo (75%),laxity_tightening (50%),product_aware (50%),gift_with_treatment (50%),0,,,50,"[""modality"", ""unspecified"", 100, 79]",117,1302180092014374|1694824525040277|955213480677609|2800197993682851
Aesthetics by Alyssa,single_location,4,direct_offer (75%),comparison_switch (50%),laxity_tightening (100%),most_aware (75%),dollar_off (50%),4,0,0,100,"[""modality"", ""rf_microneedling"", 100, 68]",108,1398595315076321|859487887213539|1714399212934728|1359813362275006
ProCare Wellness Institute,single_location,4,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),package_bundle (100%),4,0,0,100,"[""offer"", ""package_bundle"", 100, 94]",81,1738494923842055|4351924478400456|1513421180473065|1080866320954195
The Blessings Medical Clinic,single_location,4,flat_spec (75%),catalog_generic (75%),unspecified (100%),product_aware (100%),no_offer (100%),0,,,25,"[""cta_intent"", ""message_us"", 100, 88]",17,4590166534562887|2057897081757453|2176695152939344|918063014318413
Genesis Lifestyle Medicine - Texas,single_location,4,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),dollar_off (100%),3,0,0,0,"[""offer"", ""dollar_off"", 100, 86]",37,2239147696942553|1575891397329001|2516453648817305|5489623311263492
A Younger You Medical Spa,single_location,4,curiosity_tease (50%),offer_promo (50%),texture_pores (50%),product_aware (50%),package_bundle (50%),2,100,100,0,"[""cta_intent"", ""book_appointment"", 75, 57]",21,1394748376100934|1572822617770675|1729896601603747|948416748331022
Integrated Aesthetics,single_location,4,question (50%),problem_solution (50%),laxity_tightening (100%),product_aware (100%),no_offer (100%),3,0,0,75,"[""downtime_handling"", ""downtime_denied"", 100, 90]",132,1325156866209332|2495040617628689|2975159692818709|1028308166655753
DermaTouch RN,single_location,4,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),percent_off (100%),3,0,0,0,"[""offer"", ""percent_off"", 100, 87]",24,1442326407715309|1618594100054710|1618545256523759|1072841745471316
TREAT Medspa,single_location,4,bold_claim (25%),educational_howto (25%),laxity_tightening (75%),product_aware (100%),percent_off (50%),2,50,50,75,"[""modality"", ""unspecified"", 75, 54]",14,1061672946570488|1844522976542361|1066195829370906|1739995427219366
Elinea SF,single_location,3,flat_spec (67%),provider_authority (67%),unspecified (67%),product_aware (33%),no_offer (67%),0,,,0,"[""format"", ""provider_authority"", 67, 62]",203,2066986240529900|2109186649904911|988309210402149
NEOSkin Promos,single_location,3,direct_offer (100%),offer_promo (100%),unspecified (67%),most_aware (100%),dollar_off (100%),3,67,0,0,"[""offer"", ""dollar_off"", 100, 86]",112,986797950753916|995970023179592|2287191362113701
Cool Springs Plastic Surgery,single_location,3,curiosity_tease (33%),product_announcement (67%),pigmentation_sun_damage (67%),product_aware (67%),no_offer (33%),2,0,0,0,"[""cta_intent"", ""purchase_package"", 67, 66]",28,1035526536132954|1086883191049528|1827042631803284
EDEN Plastic Surgery Miami,single_location,3,curiosity_tease (100%),testimonial_ugc (100%),laxity_tightening (100%),product_aware (100%),no_offer (100%),0,,,33,"[""format"", ""testimonial_ugc"", 100, 95]",211,4036289083260183|1182579797327155|1061727853068203
BodyLase Med Spa,regional_group,3,social_proof (67%),provider_authority (67%),unspecified (100%),unaware (100%),free_consult (67%),3,0,0,0,"[""awareness_stage"", ""unaware"", 100, 96]",126,2040406813519924|1769748834386322|2361276021026174
"Carl Truesdale, M.D.",single_location,3,problem_callout (33%),problem_solution (67%),unspecified (100%),product_aware (100%),no_offer (100%),3,0,0,67,"[""driver"", ""trust_safety"", 100, 90]",107,2056363138566936|802307202820518|1429633115739758
