indication,hook_archetype,awareness_stage,ads,pct
laxity_tightening,direct_offer,most_aware,78,11.82
laxity_tightening,bold_claim,product_aware,38,5.76
general_glow,direct_offer,most_aware,23,3.48
fine_lines_wrinkles,direct_offer,most_aware,22,3.33
laxity_tightening,direct_offer,product_aware,22,3.33
laxity_tightening,problem_callout,product_aware,21,3.18
laxity_tightening,flat_spec,product_aware,20,3.03
unspecified,flat_spec,product_aware,18,2.73
unspecified,direct_offer,most_aware,18,2.73
laxity_tightening,question,product_aware,17,2.58
general_glow,bold_claim,product_aware,16,2.42
unspecified,bold_claim,product_aware,16,2.42
laxity_tightening,social_proof,product_aware,16,2.42
pigmentation_sun_damage,bold_claim,product_aware,13,1.97
acne_scarring,problem_callout,product_aware,13,1.97
pigmentation_sun_damage,direct_offer,most_aware,11,1.67
fine_lines_wrinkles,problem_callout,product_aware,10,1.52
laxity_tightening,curiosity_tease,product_aware,10,1.52
pigmentation_sun_damage,problem_callout,product_aware,9,1.36
laxity_tightening,before_after_reveal,product_aware,9,1.36
fine_lines_wrinkles,direct_offer,product_aware,8,1.21
fine_lines_wrinkles,problem_callout,solution_aware,8,1.21
laxity_tightening,problem_callout,most_aware,8,1.21
general_glow,flat_spec,product_aware,8,1.21
pigmentation_sun_damage,direct_offer,product_aware,7,1.06
texture_pores,bold_claim,product_aware,7,1.06
texture_pores,flat_spec,product_aware,7,1.06
pigmentation_sun_damage,flat_spec,product_aware,7,1.06
unspecified,curiosity_tease,product_aware,6,0.91
laxity_tightening,flat_spec,solution_aware,6,0.91
acne_scarring,problem_callout,solution_aware,6,0.91
pigmentation_sun_damage,question,product_aware,5,0.76
texture_pores,direct_offer,product_aware,5,0.76
fine_lines_wrinkles,bold_claim,product_aware,5,0.76
unspecified,flat_spec,solution_aware,4,0.61
pigmentation_sun_damage,curiosity_tease,product_aware,4,0.61
unspecified,social_proof,unaware,4,0.61
general_glow,curiosity_tease,product_aware,4,0.61
unspecified,flat_spec,unaware,4,0.61
general_glow,question,most_aware,4,0.61
texture_pores,direct_offer,most_aware,4,0.61
unspecified,social_proof,product_aware,4,0.61
general_glow,question,solution_aware,4,0.61
general_glow,direct_offer,product_aware,4,0.61
laxity_tightening,social_proof,most_aware,4,0.61
general_glow,social_proof,product_aware,3,0.45
general_glow,before_after_reveal,product_aware,3,0.45
unspecified,bold_claim,unaware,3,0.45
pigmentation_sun_damage,problem_callout,solution_aware,3,0.45
fine_lines_wrinkles,flat_spec,product_aware,3,0.45
texture_pores,bold_claim,solution_aware,3,0.45
texture_pores,curiosity_tease,product_aware,3,0.45
acne_scarring,flat_spec,product_aware,3,0.45
general_glow,flat_spec,solution_aware,3,0.45
fine_lines_wrinkles,problem_callout,most_aware,3,0.45
general_glow,question,product_aware,3,0.45
unspecified,question,unaware,3,0.45
unspecified,bold_claim,solution_aware,3,0.45
fine_lines_wrinkles,question,product_aware,3,0.45
acne_scarring,bold_claim,product_aware,3,0.45
unspecified,problem_callout,product_aware,2,0.3
pigmentation_sun_damage,bold_claim,most_aware,2,0.3
laxity_tightening,problem_callout,solution_aware,2,0.3
pigmentation_sun_damage,bold_claim,solution_aware,2,0.3
texture_pores,question,solution_aware,2,0.3
unspecified,question,solution_aware,2,0.3
fine_lines_wrinkles,direct_offer,solution_aware,2,0.3
unspecified,problem_callout,solution_aware,2,0.3
acne_scarring,curiosity_tease,problem_aware,2,0.3
pigmentation_sun_damage,social_proof,product_aware,2,0.3
unspecified,direct_offer,solution_aware,2,0.3
fine_lines_wrinkles,flat_spec,solution_aware,2,0.3
unspecified,curiosity_tease,unaware,2,0.3
general_glow,flat_spec,unaware,2,0.3
unspecified,bold_claim,most_aware,2,0.3
general_glow,curiosity_tease,solution_aware,2,0.3
fine_lines_wrinkles,bold_claim,solution_aware,2,0.3
laxity_tightening,bold_claim,solution_aware,2,0.3
unspecified,question,product_aware,2,0.3
